Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Global,1990 - 2023,All ages,Both,Esophageal cancer,DALYs annual % change,-0.0030583382985696966,,
All Population,Global,2023,All ages,Both,Stomach cancer,Percent of total DALYs,0.008051206391302086,0.00689903029835778,0.009493583677632984
All Population,Global,1990 - 2023,All ages,Both,Stomach cancer,DALYs annual % change,-0.015365606127739607,,
All Population,Global,2023,All ages,Both,Liver cancer,Percent of total DALYs,0.004984856823395347,0.00420950731009479,0.005920838891037325
All Population,Global,1990 - 2023,All ages,Both,Liver cancer,DALYs annual % change,0.004726149907347007,,
All Population,Global,2023,All ages,Both,Liver cancer due to hepatitis B,Percent of total DALYs,0.002153232952490541,0.0017930187550361468,0.0026016059802205418
All Population,Global,1990 - 2023,All ages,Both,Liver cancer due to hepatitis B,DALYs annual % change,0.0006188826110261383,,
All Population,Global,2023,All ages,Both,Liver cancer due to hepatitis C,Percent of total DALYs,0.0012143438294978084,0.001010406745368312,0.0015143055785954386
All Population,Global,1990 - 2023,All ages,Both,Liver cancer due to hepatitis C,DALYs annual % change,0.0087247913887025,,
All Population,Global,2023,All ages,Both,Liver cancer due to alcohol use,Percent of total DALYs,0.0008732170825217287,0.0006863638348272833,0.0011117694047169525
All Population,Global,1990 - 2023,All ages,Both,Liver cancer due to alcohol use,DALYs annual % change,0.012997984192572462,,
All Population,Global,2023,All ages,Both,Liver cancer due to other causes,Percent of total DALYs,0.00025528052465618615,0.0001951300544224365,0.00033530595780755445
All Population,Global,1990 - 2023,All ages,Both,Liver cancer due to other causes,DALYs annual % change,0.0028106103658833257,,
All Population,Global,2023,All ages,Both,Larynx cancer,Percent of total DALYs,0.0012751814138282675,0.0010668734819021578,0.0015876768154369611
All Population,Global,1990 - 2023,All ages,Both,Larynx cancer,DALYs annual % change,0.0003111686999909167,,
All Population,Global,2023,All ages,Both,"Tracheal, bronchus, and lung cancer",Percent of total DALYs,0.0167021059935049,0.014526920696847787,0.01912975184642195
All Population,Global,1990 - 2023,All ages,Both,"Tracheal, bronchus, and lung cancer",DALYs annual % change,0.0020742854108057747,,
All Population,Global,2023,All ages,Both,Breast cancer,Percent of total DALYs,0.008808504781210025,0.007641135035684799,0.010112445918652353
All Population,Global,1990 - 2023,All ages,Both,Breast cancer,DALYs annual % change,0.009716614502139315,,
All Population,Global,2023,All ages,Both,Cervical cancer,Percent of total DALYs,0.004746112347150143,0.0036314141753708206,0.006250129762565137
All Population,Global,1990 - 2023,All ages,Both,Cervical cancer,DALYs annual % change,0.0037105184552766587,,
All Population,Global,2023,All ages,Both,Uterine cancer,Percent of total DALYs,0.001037883045130669,0.0008744516210245444,0.001233315193677911
All Population,Global,1990 - 2023,All ages,Both,Uterine cancer,DALYs annual % change,0.00481357018325499,,
All Population,Global,2023,All ages,Both,Prostate cancer,Percent of total DALYs,0.003188040849206333,0.0027412438198997652,0.0036955171503639164
All Population,Global,1990 - 2023,All ages,Both,Prostate cancer,DALYs annual % change,0.00993368543107442,,
All Population,Global,2023,All ages,Both,Colon and rectum cancer,Percent of total DALYs,0.009363949963631782,0.008268599137851163,0.010531888512211283
All Population,Global,1990 - 2023,All ages,Both,Colon and rectum cancer,DALYs annual % change,0.004671498297417191,,
All Population,Global,2023,All ages,Both,Lip and oral cavity cancer,Percent of total DALYs,0.0023091467347682417,0.001964095161580664,0.0027577421357555445
All Population,Global,1990 - 2023,All ages,Both,Lip and oral cavity cancer,DALYs annual % change,0.010990195213374833,,
All Population,Global,2023,All ages,Both,Nasopharynx cancer,Percent of total DALYs,0.0009251989612368889,0.0007421349697554703,0.001121062209986573
All Population,Global,1990 - 2023,All ages,Both,Nasopharynx cancer,DALYs annual % change,-0.009114425533698808,,
All Population,Global,2023,All ages,Both,Other pharynx cancer,Percent of total DALYs,0.0011918567943809064,0.0009316092707838228,0.001527685293094146
All Population,Global,1990 - 2023,All ages,Both,Other pharynx cancer,DALYs annual % change,0.014650542992969744,,
All Population,Global,2023,All ages,Both,Gallbladder and biliary tract cancer,Percent of total DALYs,0.001432927791695154,0.0012129906833796495,0.0017597112895601902
All Population,Global,1990 - 2023,All ages,Both,Gallbladder and biliary tract cancer,DALYs annual % change,0.003093033893848686,,
All Population,Global,2023,All ages,Both,Pancreatic cancer,Percent of total DALYs,0.004396141698125565,0.003941867584668817,0.004873605242359446
All Population,Global,1990 - 2023,All ages,Both,Pancreatic cancer,DALYs annual % change,0.012191918936123694,,
All Population,Global,2023,All ages,Both,Malignant skin melanoma,Percent of total DALYs,0.0006528630590739909,0.000573546990953516,0.0007578039976005738
All Population,Global,1990 - 2023,All ages,Both,Malignant skin melanoma,DALYs annual % change,0.004554539981502412,,
All Population,Global,2023,All ages,Both,Non-melanoma skin cancer,Percent of total DALYs,0.00047738554160099006,0.00040435496194525923,0.0005557431384133429
All Population,Global,1990 - 2023,All ages,Both,Non-melanoma skin cancer,DALYs annual % change,0.013155335476752336,,
All Population,Global,2023,All ages,Both,Ovarian cancer,Percent of total DALYs,0.0023186622487273894,0.0019431314104108774,0.002769785244359887
All Population,Global,1990 - 2023,All ages,Both,Ovarian cancer,DALYs annual % change,0.009188855519814947,,
All Population,Global,2023,All ages,Both,Testicular cancer,Percent of total DALYs,0.00021042589868627002,0.00016397788446015168,0.00026419380561958664
All Population,Global,1990 - 2023,All ages,Both,Testicular cancer,DALYs annual % change,-0.0004348498583217362,,
All Population,Global,2023,All ages,Both,Kidney cancer,Percent of total DALYs,0.0014539266891326742,0.0012683314680422683,0.0016507046579589783
All Population,Global,1990 - 2023,All ages,Both,Kidney cancer,DALYs annual % change,0.00429325298760547,,
All Population,Global,2023,All ages,Both,Bladder cancer,Percent of total DALYs,0.0016558952296775828,0.0014769588924678282,0.0018753846363983656
All Population,Global,1990 - 2023,All ages,Both,Bladder cancer,DALYs annual % change,0.0033035374862085804,,
All Population,Global,2023,All ages,Both,Brain and central nervous system cancer,Percent of total DALYs,0.003281198556603024,0.0028106745365871133,0.004010602105544037
All Population,Global,1990 - 2023,All ages,Both,Brain and central nervous system cancer,DALYs annual % change,-0.0018033927545243167,,
All Population,Global,2023,All ages,Both,Thyroid cancer,Percent of total DALYs,0.0005583980346399785,0.00047499687121438686,0.0006741800678388751
All Population,Global,1990 - 2023,All ages,Both,Thyroid cancer,DALYs annual % change,0.01021753345920089,,
All Population,Global,2023,All ages,Both,Mesothelioma,Percent of total DALYs,0.00022352619269767502,0.0001941706056859567,0.0002547197743416722
All Population,Global,1990 - 2023,All ages,Both,Mesothelioma,DALYs annual % change,0.005523422691063765,,
All Population,Global,2023,All ages,Both,Hodgkin lymphoma,Percent of total DALYs,0.00042414325937727317,0.00030918295321309675,0.0005659949275707023
All Population,Global,1990 - 2023,All ages,Both,Hodgkin lymphoma,DALYs annual % change,-0.017638531887792845,,
All Population,Global,2023,All ages,Both,Non-Hodgkin lymphoma,Percent of total DALYs,0.0029760464982967385,0.0025626220800773936,0.003495872334450606
All Population,Global,1990 - 2023,All ages,Both,Non-Hodgkin lymphoma,DALYs annual % change,0.001502401725602583,,
All Population,Global,2023,All ages,Both,Multiple myeloma,Percent of total DALYs,0.0010067991063403712,0.0008866964208567227,0.0011458936716608077
All Population,Global,1990 - 2023,All ages,Both,Multiple myeloma,DALYs annual % change,0.014168134305489287,,
All Population,Global,2023,All ages,Both,Leukemia,Percent of total DALYs,0.004362437218823844,0.0037434022683778398,0.00508767095761692
All Population,Global,1990 - 2023,All ages,Both,Leukemia,DALYs annual % change,-0.014746438932940784,,
All Population,Global,2023,All ages,Both,Other malignant neoplasms,Percent of total DALYs,0.0023940689762796895,0.0020176002760685175,0.002824238323998239
All Population,Global,1990 - 2023,All ages,Both,Other malignant neoplasms,DALYs annual % change,-0.008498376358733078,,
All Population,Global,2023,All ages,Both,Other neoplasms,Percent of total DALYs,0.0011989295980670653,0.0010077296629899533,0.0015081851029745724
All Population,Global,1990 - 2023,All ages,Both,Other neoplasms,DALYs annual % change,0.005853343955474783,,
All Population,Global,2023,All ages,Both,Cardiovascular diseases,Percent of total DALYs,0.15610540081189583,0.14133486959740393,0.16966544269786044
All Population,Global,1990 - 2023,All ages,Both,Cardiovascular diseases,DALYs annual % change,-0.0031431196789797502,,
All Population,Global,2023,All ages,Both,Rheumatic heart disease,Percent of total DALYs,0.005172706792598348,0.0037418363211480527,0.007100760313635225
All Population,Global,1990 - 2023,All ages,Both,Rheumatic heart disease,DALYs annual % change,-0.02070289656033074,,
All Population,Global,2023,All ages,Both,Ischemic heart disease,Percent of total DALYs,0.06886556798702306,0.06135898799964272,0.076920634733018
All Population,Global,1990 - 2023,All ages,Both,Ischemic heart disease,DALYs annual % change,0.00006020327208401481,,
All Population,Global,2023,All ages,Both,Stroke,Percent of total DALYs,0.055974899857712854,0.04962202563178486,0.06306613518790825
All Population,Global,1990 - 2023,All ages,Both,Stroke,DALYs annual % change,-0.007603656206478028,,
All Population,Global,2023,All ages,Both,Ischemic stroke,Percent of total DALYs,0.023948799011703978,0.021345723043318665,0.027070747008702524
